Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Chloroquine	For the suppressive treatment and for acute attacks of malaria due to P. vivax, P.malariae, P. ovale, and susceptible strains of P. falciparum, Second-line agent in treatment of Rheumatoid Arthritis	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Chloroquine	For the suppressive treatment and for acute attacks of malaria due to P. vivax, P.malariae, P. ovale, and susceptible strains of P. falciparum, Second-line agent in treatment of Rheumatoid Arthritis	Vivax malaria		
Chlorothiazide	Chlorothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Cirrhosis	KRT18;KRT8;CIRH1A	3875;3856;84916
Chlorothiazide	Chlorothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Congestive heart failure	ADRA2C;ADRB1	152;153
Chlorothiazide	Chlorothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Hepatic failure, early onset, and neurologic disorder	SCO1	6341
Chlorothiazide	Chlorothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Chlorotrianisene	Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Chlorotrianisene	Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth.	Menopause		
Chlorotrianisene	Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth.	Prostate cancer	RNASEL;BRCA2;PTEN;AR;CHEK2;MSR1;EPHB2;KLF6;MAD1L1;ATBF1;ELAC2;MXI1	6041;675;5728;367;11200;4481;2048;1316;8379;463;60528;4601
Chloroxine	Used in the treatment of dandruff and mild to moderately severe seborrheic dermatitis of the scalp.	Dermatitis, atopic		
Chlorpheniramine	For the treatment of rhinitis, urticaria, allergy, common cold, asthma and hay fever.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Chlorpheniramine	For the treatment of rhinitis, urticaria, allergy, common cold, asthma and hay fever.	Allergic rhinitis	IL13	3596
Chlorpromazine	For the treatment of schizophrenia, control nausea and vomiting, For relief of restlessness and apprehension before surgery, adjunct in the treatment of tetanus, control the manifestations of the manic type of manic-depressive illness.	Manic-depressive illness		
Chlorpromazine	For the treatment of schizophrenia, control nausea and vomiting, For relief of restlessness and apprehension before surgery, adjunct in the treatment of tetanus, control the manifestations of the manic type of manic-depressive illness.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Chlorpropamide	For managing hyperglycemia in Non-insulin-dependent diabetes mellitus (NIDDM).	Diabetes mellitus	ABCC8;TCF1;SUMO4;PTPN22;INSR;PPARG;GCK;GCGR;GPD2;HNF4A;IRS2;MAPK8IP1;NEUROD1;TCF2;IRS1;SLC2A2;SLC2A4;CAPN10;ENPP1;RETN;PTF1A;KCNJ11;AKT2;IPF1;FOXP3;ACE;VEGF	6833;6927;387082;26191;3643;5468;2645;2642;2820;3172;8660;9479;4760;6928;3667;6514;6517;11132;5167;56729;256297;3767;208;3651;50943;1636;7422
Chlorprothixene	For treatment of psychotic disorders (e.g. schizophrenia) and of acute mania occuring as part of bipolar disorders.	Bipolar disorder	XBP1	7494
Chlorprothixene	For treatment of psychotic disorders (e.g. schizophrenia) and of acute mania occuring as part of bipolar disorders.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Chlorthalidone	For management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Cidofovir	For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS)	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
Cidofovir	For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS)	Immunodeficiency	CD3E;CD3G;AICDA;CD40;UNG;CD40LG	916;917;57379;958;7374;959
Cinacalcet	For the treatment of secondary hyperparathyroidism in patients with Chronic Kidney Disease on dialysis. Also for the treatment of hypercalcemia in patients with parathyroid carcinoma.	Hyperparathyroidism	MEN1;CDC73;CASR	4221;79577;846
Cinacalcet	For the treatment of secondary hyperparathyroidism in patients with Chronic Kidney Disease on dialysis. Also for the treatment of hypercalcemia in patients with parathyroid carcinoma.	Thyroid carcinoma	TSHR;TP53;MINPP1;PTEN;HRAS;GOLGA5;NCOA4;PCM1;PRKAR1A;TRIM33;TRIM24	7253;7157;9562;5728;3265;9950;8031;5108;5573;51592;8805
Cinalukast	For Protection against second- phase inflamation in exercise-induced bronchoconstriction and Asthma.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Cinnarizine	For the treatment of vertigo/meniere's disease, nausea and vomiting, motion sickness and also useful for vestibular symptoms of other origins.	Meniere disease	COCH	1690
Cinoxacin	For the treatment of initial and recurrent urinary tract infections in adults caused by the following susceptible microorganisms: Escherichia coli, Proteus mirabilis, Proteus vulgaris, Klebsiella species (including K. pneumoniae), and Enterobacter species.	Proteus syndrome		
Cinoxacin	For the treatment of initial and recurrent urinary tract infections in adults caused by the following susceptible microorganisms: Escherichia coli, Proteus mirabilis, Proteus vulgaris, Klebsiella species (including K. pneumoniae), and Enterobacter species.	Urinary tract infection		
Ciprofloxacin	For the treatment of Bacterial infection of Respiratory tract, UTI, Uncomplicated Cystitis in females, GI, Chronic Bacterial Prostatitis, CNS, Immuno compromised patients, Skin, Bone and Joint Infections, Uncomplicated cervical and urethral gonorrhea	Chronic infections, due to opsonin defect	MBL2	4153
Cisapride	For the symptomatic treatment of adult patients with nocturnal heartburn due to gastroesophageal reflux disease.	Gastroesophageal reflux		
Cisplatin	For the treatment of metastatic testicular tumors, metastatic ovarian tumors and advanced bladder cancer.	Bladder cancer	FGFR3;KRAS;RB1;HRAS	2261;3845;5925;3265
Cisplatin	For the treatment of metastatic testicular tumors, metastatic ovarian tumors and advanced bladder cancer.	Ovarian cancer	BRCA1;MSH2;PIK3CA;MSH6;ERBB2;CDH1;RRAS2;CTNNB1	672;4436;5290;2956;2064;999;22800;1499
Cladribine	For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis)as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms.	Anemia	CDAN1;RPS19;PKLR;NT5C3;RHAG;SLC11A2;SPTB;ALAS2;ABCB7	146059;6223;5313;51251;6005;4891;6710;212;22
Cladribine	For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis)as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Cladribine	For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis)as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms.	Neutropenia	FCGR3A;ELA2;GFI1;WAS	2214;1991;2672;7454
Cladribine	For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis)as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms.	Thrombocytopenia	MASTL;MPL;WAS;F5	84930;4352;7454;2153
Clemastine	For the relief of symptoms associated with allergic rhinitis such as sneezing, rhinorrhea, pruritus and acrimation.	Allergic rhinitis	IL13	3596
Clidinium	For the treatment of peptic ulcer disease and also to help relieve abdominal or stomach spasms or cramps due to colicky abdominal pain, diverticulitis, and irritable bowel syndrome.	Cramps, potassium-aggravated	SCN4A	6329
Clobazam	For treatment and management of epilepsy and anxiety disorder.	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Clodronate	For the management of hypercalcemia of malignancy and as an adjunct in the management of osteolysis resulting from bone metastases of malignant tumors.	Osteolysis	TNFRSF11A;MMP2	8792;4313
Clofarabine	For the treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphoblastic leukemia after at least two prior regimens.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Clofazimine	For the treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum.	Leprosy	PARK2	5071
Clofibrate	For Primary Dysbetalipoproteinemia (Type III hyperlipidemia) that does not respond adequately to diet.	Hyperlipidemia	USF1	7391
Clofibrate	For Primary Dysbetalipoproteinemia (Type III hyperlipidemia) that does not respond adequately to diet.	Protein S deficiency	PROS1	5627
Clomifene	Used mainly in female infertility due to anovulation (e.g. due to polycystic ovary syndrome). In some countries, it is also registered for use in men.	Polycystic ovary syndrome		
Clomipramine	For the treatment of depression, obsessive compulsive disorder (OCD), panic attacks with or without agoraphobia, narcolepsy, chronic pain, and enuresis.	Enuresis		
Clomipramine	For the treatment of depression, obsessive compulsive disorder (OCD), panic attacks with or without agoraphobia, narcolepsy, chronic pain, and enuresis.	Narcolepsy	HCRT	3060
Clomipramine	For the treatment of depression, obsessive compulsive disorder (OCD), panic attacks with or without agoraphobia, narcolepsy, chronic pain, and enuresis.	Obsessive-compulsive disorder	SLC6A4;BDNF;HTR2A	6532;627;3356
Clomipramine	For the treatment of depression, obsessive compulsive disorder (OCD), panic attacks with or without agoraphobia, narcolepsy, chronic pain, and enuresis.	Panic disorder syndrome		
Clomipramine	For the treatment of depression, obsessive compulsive disorder (OCD), panic attacks with or without agoraphobia, narcolepsy, chronic pain, and enuresis.	Phobia		
Clonazepam	Used as an anticonvulsant in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic and myoclonic seizures.	Seizures	SCN2A1	6325
Clonidine	For the treatment of hypertension and maybe used in prophylaxis of migraine or recurrent vascular headache; Menopausal flushing	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Clonidine	For the treatment of hypertension and maybe used in prophylaxis of migraine or recurrent vascular headache; Menopausal flushing	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Clopidogrel	For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease	Atherosclerosis	ALOX5	240
Clopidogrel	For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Clopidogrel	For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease	Stroke	PDE4D;ALOX5AP	5144;241
Clorazepate	For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety. Also used as adjunctive therapy in the management of partial seizures and for the symptomatic relief of acute alcohol withdrawal.	Seizures	SCN2A1	6325
Clotrimazole	For the local treatment of oropharyngeal candidiasis and vaginal yeast infections, also used in fungal infections of the skin such as ringworm, athlete's foot, and jock itch.	Candidiasis		
Clozapine	For the management of severely ill schizophrenic patients who fail to respond adequately to standard drug treatment for schizophrenia	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Coagulation factor VIIa	For treatment of hemorrhagic complications in hemophilia A and B	Hemophilia	F8;F9	2157;2158
Colesevelam	For use, alone or in combination with an HMG-CoA reductase inhibitor, as adjunctive therapy to diet and exercise for the reduction of elevated LDL cholesterol in patients with primary hypercholesterolemia (Fredrickson Type IIa).	HMG-CoA deficiency	HMGCL;HMGCS2	3155;3158
Colesevelam	For use, alone or in combination with an HMG-CoA reductase inhibitor, as adjunctive therapy to diet and exercise for the reduction of elevated LDL cholesterol in patients with primary hypercholesterolemia (Fredrickson Type IIa).	Hypercholesterolemia	APOB;LDLR;PCSK9;LDLRAP1;EPHX2;APOA2;C7orf16;ITIH4	338;3949;255738;26119;2053;336;10842;3700
Colestipol	For use, as adjunctive therapy to diet, for the reduction of elevated serum total and LDL-C in patients with primary hypercholesterolemia (elevated LDL-C)who do not respond adequately to diet.	Hypercholesterolemia	APOB;LDLR;PCSK9;LDLRAP1;EPHX2;APOA2;C7orf16;ITIH4	338;3949;255738;26119;2053;336;10842;3700
Colistimethate	For the treatment of acute or chronic infections due to sensitive strains of certain gram-negative bacilli, particularly Pseudomonas aeruginosa.	Chronic infections, due to opsonin defect	MBL2	4153
Colistin	For the treatment of acute or chronic infections due to sensitive strains of certain gram-negative bacilli, particularly Pseudomonas aeruginosa.	Chronic infections, due to opsonin defect	MBL2	4153
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Hypogonadism, hypergonadotropic	LHB	3972
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Menopause		
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Osteoporosis	PDLIM4	8572
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Ovarian cancer	BRCA1;MSH2;PIK3CA;MSH6;ERBB2;CDH1;RRAS2;CTNNB1	672;4436;5290;2956;2064;999;22800;1499
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Ovarian failure, premature		
Conjugated Estrogens	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	Prostate cancer	RNASEL;BRCA2;PTEN;AR;CHEK2;MSR1;EPHB2;KLF6;MAD1L1;ATBF1;ELAC2;MXI1	6041;675;5728;367;11200;4481;2048;1316;8379;463;60528;4601
Cromolyn	For the management of patients with bronchial asthma. Also used in the treatment of vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Cromolyn	For the management of patients with bronchial asthma. Also used in the treatment of vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis.	Bronchial asthma		
Cromolyn	For the management of patients with bronchial asthma. Also used in the treatment of vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis.	Conjunctivitis, ligneous	PLG	5340
Cromolyn	For the management of patients with bronchial asthma. Also used in the treatment of vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis.	Keratitis	PAX6	5080
Cryptenamine	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Cyclophosphamide	For management of malignant lymphomas, multiple myeloma,leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma and carcinoma of the breast	Adenocarcinoma	EGFR;BRAF;ERBB2;PARK2	1956;673;2064;5071
Cyclophosphamide	For management of malignant lymphomas, multiple myeloma,leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma and carcinoma of the breast	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Cyclophosphamide	For management of malignant lymphomas, multiple myeloma,leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma and carcinoma of the breast	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Cyclophosphamide	For management of malignant lymphomas, multiple myeloma,leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma and carcinoma of the breast	Multiple myeloma	IRF4;LIG4	3662;3981
Cyclophosphamide	For management of malignant lymphomas, multiple myeloma,leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma and carcinoma of the breast	Neuroblastoma	NME1;PHOX2B	4830;8929
Cyclophosphamide	For management of malignant lymphomas, multiple myeloma,leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma and carcinoma of the breast	Retinoblastoma	RB1	5925
Cycloserine	Used in combination with up to 5 other drugs as a treatment for Mycobacterium avium complex (MAC) and is also used to treat tuberculosis (TB).	Tuberculosis	IFNGR1;IFNG	3459;3458
Cyclosporine	For treatment of transplant rejection, rheumatoid arthritis, severe psoriasis	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Cyclothiazide	Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Cirrhosis	KRT18;KRT8;CIRH1A	3875;3856;84916
Cyclothiazide	Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Congestive heart failure	ADRA2C;ADRB1	152;153
Cyclothiazide	Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Hepatic failure, early onset, and neurologic disorder	SCO1	6341
Cyclothiazide	Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Cycrimine	For treatment and management of Parkinson's disease.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Cyproheptadine	For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine.	Angioedema	SERPING1;XPNPEP2	710;7512
Cyproheptadine	For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine.	Conjunctivitis, ligneous	PLG	5340
Cyproheptadine	For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine.	Allergic rhinitis	IL13	3596
Cytarabine	For the treatment of acute non-lymphocytic leukemia, acute lymphocytic leukemia and blast phase of chronic myelocytic leukemia.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Dacarbazine	For the treatment of metastatic malignant melanoma. In addition, DTIC-Dome is also indicated for Hodgkin's disease as a secondary-line therapy when used in combination with other effective agents	Rapp-Hodgkin syndrome	TP73L	8626
Dacarbazine	For the treatment of metastatic malignant melanoma. In addition, DTIC-Dome is also indicated for Hodgkin's disease as a secondary-line therapy when used in combination with other effective agents	Malignant melanoma		
Dacarbazine	For the treatment of metastatic malignant melanoma. In addition, DTIC-Dome is also indicated for Hodgkin's disease as a secondary-line therapy when used in combination with other effective agents	Melanoma	CDK4;CDKN2A;XRCC3;STK11;BRAF	1019;1029;7517;6794;673
Dactinomycin	For the treatment of Wilms' tumor, childhood rhabdomyosarcoma, Ewing's sarcoma and metastatic, nonseminomatous testicular cancer as part of a combination chemotherapy and/or multi-modality treatment regimen	Ewing sarcoma	EWSR1	2130
Dactinomycin	For the treatment of Wilms' tumor, childhood rhabdomyosarcoma, Ewing's sarcoma and metastatic, nonseminomatous testicular cancer as part of a combination chemotherapy and/or multi-modality treatment regimen	Rhabdomyosarcoma	SLC22A18;FOXO1A;PAX3;PAX7	5002;2308;5077;5081
Dactinomycin	For the treatment of Wilms' tumor, childhood rhabdomyosarcoma, Ewing's sarcoma and metastatic, nonseminomatous testicular cancer as part of a combination chemotherapy and/or multi-modality treatment regimen	Wilms tumor	BRCA2;GPC3;POU6F2;WT1	675;2719;11281;7490
Dapsone	For the treatment and management of Leprosy and Dermatitis Herpetiformis	Dermatitis, atopic		
Dapsone	For the treatment and management of Leprosy and Dermatitis Herpetiformis	Leprosy	PARK2	5071
Darbepoetin alfa	For the treatment of anemia (from renal transplants or certain HIV treatment)	Anemia	CDAN1;RPS19;PKLR;NT5C3;RHAG;SLC11A2;SPTB;ALAS2;ABCB7	146059;6223;5313;51251;6005;4891;6710;212;22
